artist_name,is_explicit,danceability,valence,energy,loudness,acousticness,liveness,speechiness,key,tempo,mode,duration_ms,time_signature
1,TRUE,0.554,0.136,0.535,-8.959,0.0616,0.124,0.186,5,105.865,0,208014,4
1,TRUE,0.556,0.367,0.63,-8.15,0.000828,0.155,0.102,7,149.147,1,210372,5
1,TRUE,0.545,0.464,0.641,-6.398,0.00453,0.171,0.0998,10,121.892,0,215460,4
1,TRUE,0.78,0.642,0.689,-5.668,0.0368,0.0698,0.141,7,115.042,1,225389,4
2,FALSE,0.903,0.587,0.519,-9.151,0.281,0.155,0.26,1,114.991,1,116727,4
1,FALSE,0.693,0.864,0.887,-5.039,0.0581,0.27,0.0795,1,114.942,0,278282,4
1,TRUE,0.792,0.22,0.919,-5.688,0.0381,0.368,0.276,2,92.028,1,224473,4
1,FALSE,0.618,0.305,0.712,-8.246,0.14,0.575,0.114,1,97.057,1,254319,4
1,TRUE,0.683,0.598,0.85,-5.042,0.0781,0.741,0.0699,11,107.988,0,368758,4
2,FALSE,0.876,0.809,0.628,-6.595,0.0165,0.0938,0.0935,1,118.028,1,203383,4
1,TRUE,0.785,0.496,0.732,-5.724,0.0636,0.265,0.164,1,110.952,1,260771,4
1,TRUE,0.823,0.537,0.536,-10.123,0.0616,0.326,0.319,5,128.955,0,244792,4
1,TRUE,0.744,0.0805,0.577,-7.228,0.0672,0.178,0.0631,9,135.869,1,169820,4
1,TRUE,0.789,0.108,0.614,-6.491,0.00348,0.283,0.0579,1,126.035,1,198898,4
1,TRUE,0.857,0.453,0.558,-7.888,0.0122,0.288,0.134,1,123.973,1,288255,4
1,TRUE,0.674,0.208,0.625,-9.593,0.0843,0.11,0.0514,1,120.004,1,273998,4
1,FALSE,0.509,0.181,0.36,-8.2,0.633,0.13,0.0361,5,129.624,0,226361,4
1,FALSE,0.783,0.623,0.693,-6.747,0.197,0.0768,0.174,4,119.063,0,162438,4
2,FALSE,0.554,0.348,0.45,-9.454,0.731,0.339,0.182,8,87.047,0,107463,4
2,FALSE,0.611,0.718,0.723,-6.199,0.12,0.322,0.369,7,105.758,1,272464,4
2,FALSE,0.671,0.543,0.755,-5.831,0.0876,0.429,0.0683,2,67.332,0,223422,3
1,FALSE,0.33,0.4,0.244,-9.508,0.94,0.0969,0.0339,3,136.344,1,220232,4
1,FALSE,0.447,0.0497,0.436,-8.119,0.00971,0.0986,0.0389,10,80.856,1,277071,4
1,TRUE,0.807,0.0541,0.544,-5.875,0.00333,0.146,0.0409,1,120.006,1,316750,4
2,FALSE,0.777,0.195,0.588,-9.759,0.0227,0.267,0.0756,7,119.109,1,216339,4
1,TRUE,0.824,0.0611,0.555,-5.817,0.00337,0.217,0.05,1,120.002,1,281273,4
1,FALSE,0.484,0.201,0.363,-8.094,0.645,0.125,0.0368,5,127.822,0,226479,4
1,FALSE,0.672,0.642,0.696,-6.693,0.2,0.0736,0.177,4,118.742,0,162354,4
2,FALSE,0.484,0.342,0.457,-9.458,0.738,0.536,0.204,8,83.493,0,107205,4
2,FALSE,0.608,0.709,0.709,-6.175,0.119,0.337,0.374,7,105.742,1,272069,4
2,FALSE,0.647,0.548,0.732,-5.846,0.0846,0.597,0.0891,2,67.295,1,222529,3
1,FALSE,0.258,0.369,0.248,-9.507,0.944,0.0967,0.0343,3,80.187,1,219992,5
1,FALSE,0.238,0.0447,0.435,-8.096,0.00956,0.0981,0.0497,5,78.797,1,277030,4
1,FALSE,0.6,0.123,0.831,-12.294,0.143,0.7,0.378,7,170.133,1,196474,4
1,TRUE,0.401,0.402,0.769,-8.316,0.000263,0.327,0.158,2,99.252,1,167348,4
1,FALSE,0.486,0.403,0.813,-7.528,0.00174,0.406,0.114,2,85.161,1,114370,4
1,FALSE,0.201,0.0795,0.409,-13.089,0.124,0.683,0.0393,2,85.35,1,129117,3
1,TRUE,0.676,0.419,0.871,-9.134,0.0237,0.956,0.433,5,121.963,0,262832,4
1,TRUE,0.535,0.547,0.338,-27.432,0.994,0.891,0.883,6,67.709,1,59056,5
1,TRUE,0.418,0.193,0.728,-11.479,0.00981,0.966,0.486,7,129.252,1,393524,4
1,FALSE,0.456,0.488,0.551,-15.779,0.257,0.73,0.465,5,123.714,1,42306,4
